Scheme_Code,window_years,mean,min,max_cagr,overall_cagr,predicted_min_cagr,fund,starts_before_2018
118269,1,0.16530260761099747,-0.2018410186166706,0.8642328420473806,0.14095157525158752,-0.09703817718427543,CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - GROWTH OPTION,True
118269,2,0.1589859201861331,-0.052699352072218986,0.4691907486607436,0.14095157525158752,-0.010862474037153184,CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - GROWTH OPTION,True
118269,3,0.15476220391496773,0.005373279569225176,0.2969938958271985,0.14095157525158752,0.029496639530701134,CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - GROWTH OPTION,True
118269,4,0.1558592844213019,0.05258767673549647,0.3081231068540822,0.14095157525158752,0.05667667612598569,CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - GROWTH OPTION,True
118269,5,0.15772017868459667,0.026134014799297,0.27060303461684665,0.14095157525158752,0.063749630647716,CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - GROWTH OPTION,True
118269,6,0.1572543378578817,0.08147442318763742,0.2154572686900733,0.14095157525158752,0.08101780481578266,CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - GROWTH OPTION,True
118269,7,0.15551681928928762,0.08959083118495004,0.18946342889817425,0.14095157525158752,0.10019218282076606,CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - GROWTH OPTION,True
118269,8,0.15789568063176201,0.11566436793730683,0.19416080625601095,0.14095157525158752,0.10475599266471032,CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - GROWTH OPTION,True
118269,9,0.1557908189873857,0.1303565627480361,0.17868771619078294,0.14095157525158752,0.11336397888044429,CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - GROWTH OPTION,True
118269,10,0.15464618341300998,0.12823900086597861,0.1738972320405594,0.14095157525158752,0.11776966104414438,CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - GROWTH OPTION,True
118272,1,0.16080989953270144,-0.15274822280436828,0.6297703506323584,0.13929491621116785,-0.07646926735741083,CANARA ROBECO EQUITY HYBRID FUND - DIRECT PLAN - GROWTH OPTION,True
118272,2,0.1536704742390056,-0.034077771002560264,0.3716620730684326,0.13929491621116785,-0.013627052985582687,CANARA ROBECO EQUITY HYBRID FUND - DIRECT PLAN - GROWTH OPTION,True
118272,3,0.14729314520704231,0.017345932804406994,0.2604004315781201,0.13929491621116785,0.023256608811811186,CANARA ROBECO EQUITY HYBRID FUND - DIRECT PLAN - GROWTH OPTION,True
118272,4,0.1462027513772083,0.06393189147812395,0.2514842791761116,0.13929491621116785,0.05009204662131104,CANARA ROBECO EQUITY HYBRID FUND - DIRECT PLAN - GROWTH OPTION,True
118272,5,0.1461101534390671,0.04521578265588633,0.22238475930496437,0.13929491621116785,0.057663370362913274,CANARA ROBECO EQUITY HYBRID FUND - DIRECT PLAN - GROWTH OPTION,True
118272,6,0.1449951342000103,0.1031725378433388,0.18578517167573305,0.13929491621116785,0.07487156110755815,CANARA ROBECO EQUITY HYBRID FUND - DIRECT PLAN - GROWTH OPTION,True
118272,7,0.1435343472085148,0.10937853999591196,0.18405082621797564,0.13929491621116785,0.09360249148227383,CANARA ROBECO EQUITY HYBRID FUND - DIRECT PLAN - GROWTH OPTION,True
118272,8,0.14579258269850312,0.11072231818255696,0.19493815969807837,0.13929491621116785,0.09797230047789654,CANARA ROBECO EQUITY HYBRID FUND - DIRECT PLAN - GROWTH OPTION,True
118272,9,0.14533649736726262,0.12244297895243661,0.1741941239663185,0.13929491621116785,0.10153338572448248,CANARA ROBECO EQUITY HYBRID FUND - DIRECT PLAN - GROWTH OPTION,True
118272,10,0.14627198892878432,0.11877510953400461,0.16935383990759179,0.13929491621116785,0.10361594814266423,CANARA ROBECO EQUITY HYBRID FUND - DIRECT PLAN - GROWTH OPTION,True
118320,1,0.07318078214314386,0.020431725980982085,0.11466528372418106,0.0717677602805935,0.04318827913186045,CANARA ROBECO SHORT DURATION FUND - DIRECT PLAN - GROWTH OPTION,True
118320,2,0.07256838537243787,0.03285914603101059,0.10038495323995966,0.0717677602805935,0.03998110695757962,CANARA ROBECO SHORT DURATION FUND - DIRECT PLAN - GROWTH OPTION,True
118320,3,0.07203757617709698,0.04428879069966185,0.08997106485658635,0.0717677602805935,0.04106424947039233,CANARA ROBECO SHORT DURATION FUND - DIRECT PLAN - GROWTH OPTION,True
118320,4,0.07164813066599934,0.05131244321941986,0.09059279817775101,0.0717677602805935,0.053524576478867734,CANARA ROBECO SHORT DURATION FUND - DIRECT PLAN - GROWTH OPTION,True
