Scheme_Code,Scheme_Name,AMC,Scheme_Type,Scheme_Category,Scheme_NAV_Name,Scheme_Min_Amt,NAV,Latest_NAV_Date,Average_AUM_Cr,AAUM_Quarter,ISIN_Div_Payout/Growth,ISIN_Div_Reinvestment,ISIN_Div_Payout/Growth/Div_Reinvestment,Launch_Date,Closure_Date
119019,DSP Aggressive Hybrid Fund,DSP Asset Managers Private Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,DSP Aggressive Hybrid Fund - Direct Plan - Growth,Rs. 1000/  and any amount thereafter,400.965,2026-07-17,996.2107,April - June 2026,INF740K01NY4,-,INF740K01NY4,1999-05-03,1999-05-14
134813,Mirae Asset Aggressive Hybrid Fund,Mirae Asset Investment Managers (India) Pvt. Ltd,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Mirae Asset Aggressive Hybrid Fund - Direct Plan - Growth,Rs. 5000 and in multiples of Re.1 thereafter,39.454,2026-07-17,1832.8158,April - June 2026,INF769K01DH9,-,INF769K01DH9,2015-07-08,
119053,Tata Aggressive Hybrid Fund,Tata Asset Management Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Tata Aggressive Hybrid Fund -Direct Plan- Growth Option,5000.00,500.1894,2026-07-17,,,INF277K01MN2,-,INF277K01MN2,1995-08-30,
120819,Quant Aggressive Hybrid Fund,quant Money Managers Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,quant Aggressive Hybrid Fund-Growth Option-Direct Plan,Rs. 5000/-,522.6806,2026-07-17,,,INF966L01556,-,INF966L01556,2001-02-19,2001-03-20
120517,Aditya Birla Sun Life Equity Hybrid '95 Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Aditya Birla Sun Life Equity Hybrid'95 Fund - Direct Plan-Growth,5000,1741.46,2026-07-17,,,INF209K01ZC0,-,INF209K01ZC0,1995-01-19,
145599,Groww Aggressive Hybrid Fund,Groww Asset Management Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Groww Aggressive Hybrid Fund (formerly known as Indiabulls Equity Hybrid Fund) - Direct Plan - Growth option,Rs. 500 and in multiples of  Re. 1 thereafter,23.2517,2026-07-17,11.7624,April - June 2026,INF666M01FA3,-,INF666M01FA3,2018-11-22,2018-12-06
118546,Franklin India Aggressive Hybrid Fund,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Franklin India Aggressive Hybrid Fund - Direct - Growth,Rs.5000,310.4604,2026-07-17,,,INF090I01FZ1,-,INF090I01FZ1,1999-12-10,
118624,Edelweiss Aggressive Hybrid Fund,Edelweiss Asset Management Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Edelweiss Aggressive Hybrid Fund-Direct Plan-Growth Option,Rs 1000/- & in multiples of Re.1/- thereafter,75.55,2026-07-17,464.4126,April - June 2026,INF754K01CE0,-,INF754K01CE0,2009-06-08,2009-06-10
148265,Nippon India Aggressive Hybrid Fund (Existing Number of Segregated Portfolios - 2),Nippon Life India Asset Management Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Nippon India Aggressive  Hybrid Fund - Segregated Portfolio 2 - Direct Plan - Growth Plan,500/- and in multiples of Re.1 thereafter,0.0,2026-07-17,,,INF204KB13T1,-,INF204KB13T1,2005-05-10,
118794,Nippon India Aggressive Hybrid Fund (Existing Number of Segregated Portfolios - 2),Nippon Life India Asset Management Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Nippon India Aggressive Hybrid Fund  - Direct Plan Growth Plan,500/- and in multiples of Re.1 thereafter,121.7018,2026-07-17,268.8882,April - June 2026,INF204K01B08,-,INF204K01B08,2005-05-10,
148978,Kotak Nifty 50 Index Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Other Scheme - Index Funds,Kotak Nifty 50 Index Fund - Direct Plan-Growth,Rs. 100/- and in multiples of Re. 1 for purchases,16.153,2026-07-17,820.4883,April - June 2026,INF174KA1HA7,-,INF174KA1HA7,2021-05-31,
152365,ICICI Prudential Nifty50 Value 20 Index Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Other Scheme - Index Funds,ICICI Prudential Nifty50 Value 20 Index Fund - Direct Plan - Growth,100,10.3574,2026-07-17,,,INF109KC16T3,-,INF109KC16T3,2024-01-15,
