Scheme_Code,Scheme_Name,AMC,Scheme_Type,Scheme_Category,Scheme_NAV_Name,Scheme_Min_Amt,NAV,Latest_NAV_Date,Average_AUM_Cr,AAUM_Quarter,ISIN_Div_Payout/Growth,ISIN_Div_Reinvestment,ISIN_Div_Payout/Growth/Div_Reinvestment,Launch_Date,Closure_Date
154210,TRUSTMF MID CAP FUND,Trust Asset Management Private Limited,Open Ended,Equity Scheme - Mid Cap Fund,TRUSTMF MID CAP FUND -DIRECT -GROWTH,1000,11.83,2026-07-17,,,INF0GCD01875,-,INF0GCD01875,2026-02-27,2026-03-13
118533,Franklin India Mid Cap Fund,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Equity Scheme - Mid Cap Fund,Franklin India Mid Cap Fund - Direct - Growth,Rs.5000,3195.9391,2026-07-17,,,INF090I01FH9,-,INF090I01FH9,1993-12-01,
118872,Taurus Mid Cap Fund,Taurus Asset Management Company Limited,Open Ended,Equity Scheme - Mid Cap Fund,Taurus Mid Cap Fund - Direct Plan - Growth,Rs. 500 and in multiples of Re 1 therafter,128.87,2026-07-17,,,INF044D01CA9,-,INF044D01CA9,1994-09-05,
125307,PGIM India Midcap Fund,PGIM India Asset Management Private Limite,Open Ended,Equity Scheme - Mid Cap Fund,PGIM India Midcap Fund - Direct Plan - Growth Option,Rs. 5000/- and in multiples of 1/- thereafter,76.71,2026-07-17,4160.2589,April - June 2026,INF663L01DV3,-,INF663L01DV3,2013-11-11,2013-11-25
150815,JM Midcap Fund,JM Financial Asset Management Limited,Open Ended,Equity Scheme - Mid Cap Fund,JM Midcap Fund (Direct) - Growth,Rs. 5000 and any amount thereafter,22.1112,2026-07-17,,,INF192K01MV6,-,INF192K01MV6,2022-10-31,2022-11-14
118989,HDFC Mid Cap Fund,HDFC Asset Management Company Limited,Open Ended,Equity Scheme - Mid Cap Fund,HDFC Mid Cap Fund - Growth Option - Direct Plan,Rs. 5000,229.279,2026-07-17,26843.5866,April - June 2026,INF179K01XQ0,-,INF179K01XQ0,2007-05-07,2007-06-08
119775,Kotak Midcap Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Equity Scheme - Mid Cap Fund,Kotak Midcap Fund - Direct Plan - Growth,5000,171.164,2026-07-17,16327.0012,April - June 2026,INF174K01LT0,-,INF174K01LT0,2007-02-12,2007-03-12
118665,Nippon India Growth Mid Cap Fund,Nippon Life India Asset Management Limited,Open Ended,Equity Scheme - Mid Cap Fund,Nippon India Growth Mid Cap Fund - Direct Plan Growth Plan - Bonus Option,Purchase Rs 100 & in multiples of Rs 1 thereafter,821.6944,2026-07-17,0.7426,April - June 2026,INF204K01E21,-,INF204K01E21,1995-09-25,
118666,Nippon India Growth Mid Cap Fund,Nippon Life India Asset Management Limited,Open Ended,Equity Scheme - Mid Cap Fund,NIPPON INDIA GROWTH MID CAP FUND - DIRECT Plan - IDCW Option,Purchase Rs 100 & in multiples of Rs 1 thereafter,191.8428,2026-07-17,110.3268,April - June 2026,INF204K01E39,INF204K01E47,INF204K01E39INF204K01E47,1995-09-25,
154269,The Wealth Company Small Cap Fund,Wealth Company Asset Management Holdings Private Limited,Open Ended,Equity Scheme - Small Cap Fund,The Wealth Company Small Cap Fund- Direct-Growth,10000,11.4703,2026-07-17,,,INF2F0001537,-,INF2F0001537,2026-03-05,2026-03-18
145137,Invesco India Smallcap Fund,Invesco Asset Management (India) Private Limited,Open Ended,Equity Scheme - Small Cap Fund,Invesco India Smallcap Fund - Direct Plan - Growth,Rs.100 per app.;in multiples of Re.1 thereafter,52.72,2026-07-17,3648.1076,April - June 2026,INF205K013T3,-,INF205K013T3,2018-10-10,
152128,Baroda BNP Paribas Small Cap Fund,Baroda BNP Paribas Asset Management India Private Limited,Open Ended,Equity Scheme - Small Cap Fund,Baroda BNP Paribas Small Cap Fund - Direct Plan - Growth option,5000,14.3892,2026-07-17,,,INF251K01SR5,-,INF251K01SR5,2023-10-06,
153196,Mirae Asset Small Cap Fund,Mirae Asset Investment Managers (India) Pvt. Ltd,Open Ended,Equity Scheme - Small Cap Fund,Mirae Asset Small Cap Fund - Direct Plan - Growth,Rs.5000/- and in multiples of Re. 1/- thereafter,12.386,2026-07-17,707.7543,April - June 2026,INF769K01NJ4,-,INF769K01NJ4,2025-01-10,
146130,Canara Robeco Small Cap Fund,Canara Robeco Asset Management Company Limited,Open Ended,Equity Scheme - Small Cap Fund,CANARA ROBECO SMALL CAP FUND - DIRECT PLAN - GROWTH OPTION,5000,45.11,2026-07-17,,,INF760K01JC6,-,INF760K01JC6,2019-01-25,2019-02-08
153612,Bajaj Finserv Small Cap Fund,Bajaj Finserv Asset Management Limited,Open Ended,Equity Scheme - Small Cap Fund,BAJAJ FINSERV SMALL CAP FUND - DIRECT - GROWTH,500,10.884,2026-07-17,154.6756,April - June 2026,INF0QA701BN2,-,INF0QA701BN2,2025-06-27,
149019,PGIM India Small Cap Fund,PGIM India Asset Management Private Limite,Open Ended,Equity Scheme - Small Cap Fund,PGIM India Small Cap Fund - Direct Plan- Growth Option,Rs.5000 & in multiples of Re.1 thereafter,18.94,2026-07-17,150.632,April - June 2026,INF663L01W06,-,INF663L01W06,2021-07-09,
130503,HDFC Small Cap Fund,HDFC Asset Management Company Limited,Open Ended,Equity Scheme - Small Cap Fund,HDFC Small Cap Fund - Growth Option - Direct Plan,5000,160.53,2026-07-17,14004.7419,April - June 2026,INF179KA1RW5,-,INF179KA1RW5,2008-02-11,
120828,Quant Small Cap Fund,quant Money Managers Limited,Open Ended,Equity Scheme - Small Cap Fund,quant Small Cap Fund - Growth Option - Direct Plan,Rs. 5000/-,313.4689,2026-07-17,,,INF966L01689,-,INF966L01689,1996-09-23,1996-10-30
146196,Edelweiss Small Cap Fund,Edelweiss Asset Management Limited,Open Ended,Equity Scheme - Small Cap Fund,Edelweiss Small Cap Fund - Direct Plan - Growth,5000,52.779,2026-07-17,1425.9503,April - June 2026,INF754K01JN6,-,INF754K01JN6,2019-01-18,
125354,Axis Small Cap Fund,Axis Asset Management Co. Ltd.,Open Ended,Equity Scheme - Small Cap Fund,Axis Small Cap Fund - Direct Plan - Growth,Rs. 5000/- and in multiples of Re. 1/- thereafter,132.3,2026-07-17,,,INF846K01K35,-,INF846K01K35,2013-11-11,2013-11-25
154215,Abakkus Small Cap Fund,Abakkus Investment Managers Private Limited,Open Ended,Equity Scheme - Small Cap Fund,Abakkus Small Cap Fund - Direct Plan - Growth,Rs. 500/- and in multiples of Re. 1/- thereafter.,12.297,2026-07-17,,,INF2JJD01177,-,INF2JJD01177,2026-02-26,2026-03-12
118525,Franklin India Small Cap Fund,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Equity Scheme - Small Cap Fund,Franklin India Small Cap Fund - Direct - Growth,Rs.5000/- and in multiples of Re.1/- thereafter,203.8232,2026-07-17,,,INF090I01IQ4,-,INF090I01IQ4,2005-11-16,
119556,Aditya Birla Sun Life Small Cap Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Equity Scheme - Small Cap Fund,Aditya Birla Sun Life Small Cap Fund - Growth - Direct Plan,Rs. 5000/-,109.4685,2026-07-17,,,INF209K01WN4,-,INF209K01WN4,2007-04-09,2007-04-15
152939,TRUSTMF SMALL CAP FUND,Trust Asset Management Private Limited,Open Ended,Equity Scheme - Small Cap Fund,TRUSTMF SMALL CAP FUND -DIRECT PLAN-GROWTH,1000,13.15,2026-07-17,,,INF0GCD01800,-,INF0GCD01800,2024-10-11,
145678,BANK OF INDIA SMALL CAP FUND,Bank of India Investment Managers Private Limited,Open Ended,Equity Scheme - Small Cap Fund,BANK OF INDIA Small Cap Fund Direct Plan Growth,5000,62.11,2026-07-17,879.2484,April - June 2026,INF761K01EP7,-,INF761K01EP7,2018-11-28,2018-12-12
147946,BANDHAN Small Cap Fund,Bandhan AMC Limited,Open Ended,Equity Scheme - Small Cap Fund,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,Fresh Purchase 5000/- Additional Purchase 1000/-,55.527,2026-07-17,11915.9733,April - June 2026,INF194KB1AL4,-,INF194KB1AL4,2020-02-03,
119589,Sundaram Small Cap Fund,Sundaram Asset Management Company Ltd,Open Ended,Equity Scheme - Small Cap Fund,Sundaram Small Cap Fund Direct Plan - Growth,Rs.5000/-,323.2067,2026-07-17,334.5782,April - June 2026,INF903J01NK9,-,INF903J01NK9,2005-01-03,2005-01-03
129649,Union Small Cap Fund,Union Asset Management Company Private Limited,Open Ended,Equity Scheme - Small Cap Fund,Union Small Cap Fund - Direct Plan - Growth Option,Rs.1000 and in multiples of  Rs.1 thereafter.,63.65,2026-07-17,,,INF582M01BU9,-,INF582M01BU9,2014-05-20,
118777,Nippon India Small Cap Fund,Nippon Life India Asset Management Limited,Open Ended,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Bonus Option,5000 and in multiples of Re.1/-,203.5938,2026-07-17,3.7923,April - June 2026,INF204K01J83,-,INF204K01J83,2010-08-26,
144646,DSP Corporate Bond Fund,DSP Asset Managers Private Limited,Open Ended,Debt Scheme - Corporate Bond Fund,DSP Corporate Bond Fund - Direct - Growth,Rs. 1000/  and any amount thereafter.,17.2974,2026-07-17,2116.5435,April - June 2026,INF740KA1KE8,-,INF740KA1KE8,2018-08-23,2018-09-05
133791,Kotak Corporate Bond Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Income/Debt Oriented Schemes - Corporate Bond Fund,Kotak Corporate Bond Fund- Direct Plan- Growth Option,5000,4186.0394,2026-07-17,13069.7039,April - June 2026,INF178L01BY0,-,INF178L01BY0,2007-09-18,2007-09-20
118569,Franklin India Corporate Debt Fund,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Corporate Bond Fund,Franklin India Corporate Debt Fund - Direct - GROWTH,PlanA Rs.50 lakhs; PlanB Rs.25000 (MD&QD),115.345,2026-07-17,,,INF090I01FW8,-,INF090I01FW8,1997-06-24,
126685,Canara Robeco Corporate Bond Fund,Canara Robeco Asset Management Company Limited,Open Ended,Debt Scheme - Corporate Bond Fund,CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION,Rs. 5000.00 and multiples of Re.1.00 thereafter,24.5484,2026-07-17,,,INF760K01HB2,-,INF760K01HB2,2014-01-17,
148086,UTI - Bond Fund ( Segregated - 17022020 ),UTI Asset Mgmt. Co. Ltd.,Open Ended,Debt Scheme - Corporate Bond Fund,UTI - Bond Fund (Segregated - 17022020) - Direct Plan - Growth Option,Rs 5000,7.3484,2022-01-27,,,INF789F1APF4,-,INF789F1APF4,2020-02-17,
141588,AXIS Corporate Bond Fund,Axis Asset Management Co. Ltd.,Open Ended,Debt Scheme - Corporate Bond Fund,Axis Corporate Bond Fund - Direct Plan Growth,5000 and in multiples of Re. 1/- thereafter,19.2846,2026-07-17,,,INF846K01ZM8,-,INF846K01ZM8,2017-06-23,2017-07-07
118807,Nippon India Corporate Bond Fund,Nippon Life India Asset Management Limited,Open Ended,Debt Scheme - Corporate Bond Fund,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus,Growth Plan   Rs. 1000 & other Plans   Rs. 5000,47.7824,2026-07-17,0.0147,April - June 2026,INF204K01D63,-,INF204K01D63,2000-08-16,2000-09-14
143241,Union Corporate Bond Fund,Union Asset Management Company Private Limited,Open Ended,Debt Scheme - Corporate Bond Fund,Union Corporate Bond Fund - Direct Plan - Growth Option,Rs.1000 and Rs.1 thereafter,16.4902,2026-07-17,,,INF582M01DU5,-,INF582M01DU5,2018-05-04,
119621,Sundaram Corporate Bond Fund,Sundaram Asset Management Company Ltd,Open Ended,Debt Scheme - Corporate Bond Fund,Sundaram Corporate Bond Fund Direct Plan - Growth,1000,43.9088,2026-07-17,323.2693,April - June 2026,INF903J01NR4,-,INF903J01NR4,2004-12-20,
118814,Nippon India Corporate Bond Fund,Nippon Life India Asset Management Limited,Open Ended,Debt Scheme - Corporate Bond Fund,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option,Growth Plan   Rs. 1000 & other Plans   Rs. 5000,66.9269,2026-07-17,7917.1706,April - June 2026,INF204K01C15,-,INF204K01C15,2000-08-16,2000-09-14
138330,PGIM India Corporate Bond Fund,PGIM India Asset Management Private Limite,Open Ended,Debt Scheme - Corporate Bond Fund,PGIM India Corporate Bond Fund - Direct Plan - Growth,Rs. 5000/- and in multiples of Re. 1/- thereafter.,50.9249,2026-07-17,27.6198,April - June 2026,INF223J01OO2,-,INF223J01OO2,2003-01-14,2003-01-20
150237,BARODA BNP PARIBAS CORPORATE BOND FUND,Baroda BNP Paribas Asset Management India Private Limited,Open Ended,Debt Scheme - Corporate Bond Fund,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option,5000,31.1671,2026-07-17,,,INF251K01GP4,-,INF251K01GP4,2008-09-29,2008-10-22
118987,HDFC Corporate Bond Fund,HDFC Asset Management Company Limited,Open Ended,Debt Scheme - Corporate Bond Fund,HDFC Corporate Bond Fund - Growth Option - Direct Plan,5000,35.1786,2026-07-17,24304.2821,April - June 2026,INF179K01XD8,-,INF179K01XD8,2010-06-25,
119533,Aditya Birla Sun Life Corporate Bond Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Corporate Bond Fund,Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,5000,121.5081,2026-07-17,,,INF209K01S38,-,INF209K01S38,1997-03-20,1997-03-20
148755,Mirae Asset Corporate Bond Fund,Mirae Asset Investment Managers (India) Pvt. Ltd,Open Ended,Debt Scheme - Corporate Bond Fund,Mirae Asset Corporate Bond Fund Direct Growth Plan,Investors can invest under the Scheme during the N,13.7647,2026-07-17,32.114000000000004,April - June 2026,INF769K01HD9,-,INF769K01HD9,2021-02-24,
146215,SBI Corporate Bond Fund,SBI Funds Management Limited,Open Ended,Debt Scheme - Corporate Bond Fund,SBI Corporate Bond Fund - Direct Plan - Growth,Rs. 5000/- and in multiples of Re. 1/- thereafter,16.9438,2026-07-17,14278.5103,April - June 2026,INF200KA1YR4,-,INF200KA1YR4,2019-01-16,2019-01-29
150996,HSBC Corporate Bond Fund,HSBC Asset Management (India) Private Ltd.,Open Ended,Debt Scheme - Corporate Bond Fund,HSBC Corporate Bond Fund - Direct Growth,Rs. 5000 and in multiples of Re. 1 thereafter,82.7069,2026-07-17,,,INF917K01HN3,-,INF917K01HN3,1997-02-10,
151320,TRUSTMF CORPORATE BOND FUND,Trust Asset Management Private Limited,Open Ended,Debt Scheme - Corporate Bond Fund,TRUSTMF CORPORATE BOND FUND-DIRECT PLAN-GROWTH,1000,1269.5814,2026-07-17,,,INF0GCD01560,-,INF0GCD01560,2023-01-09,
120692,ICICI Prudential Corporate Bond Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Corporate Bond Fund,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,15000 Reg 5Cr Premium 200Cr SuperPre,33.3928,2026-07-17,,,INF109K016B1,-,INF109K016B1,2009-06-10,
135916,BANDHAN Corporate Bond Fund,Bandhan AMC Limited,Open Ended,Debt Scheme - Corporate Bond Fund,BANDHAN Corporate Bond Fund - Direct Growth,Fresh Purchase - Rs.5000/- and in multiple of Re1,21.0929,2026-07-17,11274.8402,April - June 2026,INF194KA1M23,-,INF194KA1M23,2015-12-28,
153242,Union Short Duration Fund,Union Asset Management Company Private Limited,Open Ended,Debt Scheme - Short Duration Fund,Union Short Duration Fund - Direct Plan - Growth Option,Rs. 1000,11.0147,2026-07-17,,,INF582M01KO3,-,INF582M01KO3,2025-01-15,2025-01-29
123704,Groww Short Term Fund,Groww Asset Management Limited,Open Ended,Debt Scheme - Short Duration Fund,Groww Short Term Fund (formerly known as Indiabulls Short Term Fund) - Direct Plan - Growth Option,500,2541.4801,2026-07-17,77.2928,April - June 2026,INF666M01AC0,-,INF666M01AC0,2013-08-22,2013-09-05
120510,Axis Short Duration Fund,Axis Asset Management Co. Ltd.,Open Ended,Debt Scheme - Short Duration Fund,Axis Short Duration Fund - Direct Plan - Growth Option,Retail  Rs.5000 Institutional  Rs.1 Crore,36.0672,2026-07-17,,,INF846K01EI1,-,INF846K01EI1,2010-01-19,
148729,Mahindra Manulife Short Duration Fund,Mahindra Manulife Investment Management Pvt Ltd,Open Ended,Debt Scheme - Short Duration Fund,Mahindra Manulife Short Duration Fund - Direct Plan -Growth,Rs. 1000 and in multiples of Re. 1/- thereafter,14.2178,2026-07-17,35.1392,April - June 2026,INF174V01AM5,-,INF174V01AM5,2021-02-09,
119498,Aditya Birla Sun Life Short Term Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Short Duration Fund,Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan,5000,54.9595,2026-07-17,,,INF209K01XK8,-,INF209K01XK8,2002-04-22,2003-04-24
119816,SBI SHORT TERM DEBT FUND,SBI Funds Management Limited,Open Ended,Debt Scheme - Short Duration Fund,SBI SHORT TERM DEBT FUND - DIRECT PLAN -GROWTH,10000,36.2894,2026-07-17,10819.0581,April - June 2026,INF200K01VE4,-,INF200K01VE4,2007-07-19,2007-07-26
148313,Franklin India Short-Term Income Plan (no. of segregated portfolios- 3),Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Short Duration Fund,Franklin India Short Tem Income Plan - Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - Direct Retail Plan Growth Option,Rs.5000 (Retail) Rs.5 Crs (Institutional),0.0,2026-07-17,,,INF090I01VS3,-,INF090I01VS3,2002-01-31,
118320,Canara Robeco Short Duration Fund,Canara Robeco Asset Management Company Limited,Open Ended,Debt Scheme - Short Duration Fund,CANARA ROBECO SHORT DURATION FUND - DIRECT PLAN - GROWTH OPTION,Rs. 5000.00 and multiples of Re.1.00 thereafter,29.3724,2026-07-17,,,INF760K01DX5,-,INF760K01DX5,2011-04-01,2011-04-15
151067,HSBC Short Duration Fund,HSBC Asset Management (India) Private Ltd.,Open Ended,Debt Scheme - Short Duration Fund,HSBC Short Duration Fund - Direct Growth,Rs. 10000/- and in multiples of Re. 1/- thereafter,29.808,2026-07-17,,,INF917K01IQ4,-,INF917K01IQ4,2011-12-07,2011-12-21
120560,Invesco India Short Duration Fund,Invesco Asset Management (India) Private Limited,Open Ended,Debt Scheme - Short Duration Fund,Invesco India Short Duration Fund - Direct Plan - Growth,Rs. 5000/- and in multiples of Re.1,4183.9599,2026-07-17,619.0233999999999,April - June 2026,INF205K01UH8,-,INF205K01UH8,2007-03-21,2007-03-22
120754,ICICI Prudential Short Term Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Short Duration Fund,ICICI Prudential Short Term Fund - Direct Plan - Growth Option,5000,70.3253,2026-07-17,,,INF109K013N3,-,INF109K013N3,2012-12-11,
120471,JM Short Term Fund,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Short Duration Fund,JM Short Term Fund (Direct) - Growth Option,100000,26.9629,2020-09-25,,,INF192K01EA7,-,INF192K01EA7,2002-06-18,
