Scheme_Code,window_years,mean,min,max_cagr,overall_cagr,predicted_min_cagr,fund,starts_before_2018,Scheme_Category,sentiment_score
118320,3,0.0720375761770969,0.0442887906996618,0.0899710648565863,0.0717677602805935,0.0410642494703923,CANARA ROBECO SHORT DURATION FUND - DIRECT PLAN - GROWTH OPTION,True,Debt Scheme - Short Duration Fund,0.08182677295472887
118320,4,0.0716481306659993,0.0513124432194198,0.090592798177751,0.0717677602805935,0.0535245764788677,CANARA ROBECO SHORT DURATION FUND - DIRECT PLAN - GROWTH OPTION,True,Debt Scheme - Short Duration Fund,0.08182677295472887
118320,5,0.0714593328046727,0.0577570603808113,0.0882844433790748,0.0717677602805935,0.0554259336020504,CANARA ROBECO SHORT DURATION FUND - DIRECT PLAN - GROWTH OPTION,True,Debt Scheme - Short Duration Fund,0.08182677295472887
118320,6,0.0723728583853229,0.05805182074448,0.085095478037233,0.0717677602805935,0.060809209304844,CANARA ROBECO SHORT DURATION FUND - DIRECT PLAN - GROWTH OPTION,True,Debt Scheme - Short Duration Fund,0.08182677295472887
118320,7,0.0726137158980097,0.0647732309880948,0.0863615260900145,0.0717677602805935,0.062597391004215,CANARA ROBECO SHORT DURATION FUND - DIRECT PLAN - GROWTH OPTION,True,Debt Scheme - Short Duration Fund,0.08182677295472887
118320,8,0.07184321058033,0.0664032669640222,0.0816090869924075,0.0717677602805935,0.0657365840331723,CANARA ROBECO SHORT DURATION FUND - DIRECT PLAN - GROWTH OPTION,True,Debt Scheme - Short Duration Fund,0.08182677295472887
118320,9,0.0714392520559834,0.0661874370995103,0.0764934049618553,0.0717677602805935,0.0670093219360206,CANARA ROBECO SHORT DURATION FUND - DIRECT PLAN - GROWTH OPTION,True,Debt Scheme - Short Duration Fund,0.08182677295472887
118320,10,0.0719412342487167,0.0700923648153102,0.0741612177565183,0.0717677602805935,0.0696367433718457,CANARA ROBECO SHORT DURATION FUND - DIRECT PLAN - GROWTH OPTION,True,Debt Scheme - Short Duration Fund,0.08182677295472887
118407,1,0.0785406773692273,0.0162642739777727,0.1219637687536232,0.0784051010100028,0.0431882791318604,Bandhan Short Duration Fund - Direct Plan - Growth,True,Debt Scheme - Short Duration Fund,0.08182677295472887
118407,2,0.0778538987655825,0.0324689943453844,0.1114116856227627,0.0784051010100028,0.0399811069575796,Bandhan Short Duration Fund - Direct Plan - Growth,True,Debt Scheme - Short Duration Fund,0.08182677295472887
118407,3,0.0764799333123961,0.0453269316228643,0.1051363164827656,0.0784051010100028,0.0410642494703923,Bandhan Short Duration Fund - Direct Plan - Growth,True,Debt Scheme - Short Duration Fund,0.08182677295472887
118407,4,0.0754280079897463,0.0541813177431216,0.0993515951337309,0.0784051010100028,0.0535245764788677,Bandhan Short Duration Fund - Direct Plan - Growth,True,Debt Scheme - Short Duration Fund,0.08182677295472887
118407,5,0.0752955949011496,0.0611107411950424,0.0893043417477958,0.0784051010100028,0.0554259336020504,Bandhan Short Duration Fund - Direct Plan - Growth,True,Debt Scheme - Short Duration Fund,0.08182677295472887
118407,6,0.0764378220398071,0.0625076944782978,0.0923524817166305,0.0784051010100028,0.060809209304844,Bandhan Short Duration Fund - Direct Plan - Growth,True,Debt Scheme - Short Duration Fund,0.08182677295472887
118407,7,0.0767485371675214,0.0673414655572599,0.0943885617018804,0.0784051010100028,0.062597391004215,Bandhan Short Duration Fund - Direct Plan - Growth,True,Debt Scheme - Short Duration Fund,0.08182677295472887
118407,8,0.0757903192829622,0.069757239757886,0.0893240704553615,0.0784051010100028,0.0657365840331723,Bandhan Short Duration Fund - Direct Plan - Growth,True,Debt Scheme - Short Duration Fund,0.08182677295472887
118407,9,0.0751854203251611,0.0704381307994621,0.0834815082573618,0.0784051010100028,0.0670093219360206,Bandhan Short Duration Fund - Direct Plan - Growth,True,Debt Scheme - Short Duration Fund,0.08182677295472887
118407,10,0.0759548439262616,0.0718874223214227,0.0800505372200515,0.0784051010100028,0.0696367433718457,Bandhan Short Duration Fund - Direct Plan - Growth,True,Debt Scheme - Short Duration Fund,0.08182677295472887
118479,1,0.1511075219306489,-0.280453591933666,0.8521215376638318,0.1304899213842936,-0.0970381771842754,BANDHAN Large Cap Fund-Direct Plan-Growth,True,Equity Scheme - Large Cap Fund,0.10725469887256622
118479,2,0.1421878384764995,-0.1132097386147614,0.4789181636068149,0.1304899213842936,-0.0108624740371531,BANDHAN Large Cap Fund-Direct Plan-Growth,True,Equity Scheme - Large Cap Fund,0.10725469887256622
118479,3,0.1377319580490374,-0.0411524495716978,0.2872501788558068,0.1304899213842936,0.0294966395307011,BANDHAN Large Cap Fund-Direct Plan-Growth,True,Equity Scheme - Large Cap Fund,0.10725469887256622
118479,4,0.1374735632717196,0.0180993297362619,0.3146042579622943,0.1304899213842936,0.0566766761259856,BANDHAN Large Cap Fund-Direct Plan-Growth,True,Equity Scheme - Large Cap Fund,0.10725469887256622
118479,5,0.1372716752480655,-0.0055294336744268,0.2712753410046971,0.1304899213842936,0.063749630647716,BANDHAN Large Cap Fund-Direct Plan-Growth,True,Equity Scheme - Large Cap Fund,0.10725469887256622
118479,6,0.1346503981265886,0.04323579463399,0.2230977864588983,0.1304899213842936,0.0810178048157826,BANDHAN Large Cap Fund-Direct Plan-Growth,True,Equity Scheme - Large Cap Fund,0.10725469887256622
118479,7,0.1320973680892871,0.0592610174440755,0.1717012878466266,0.1304899213842936,0.100192182820766,BANDHAN Large Cap Fund-Direct Plan-Growth,True,Equity Scheme - Large Cap Fund,0.10725469887256622
118479,8,0.1359215046271939,0.0913618910565841,0.1718436679584596,0.1304899213842936,0.1047559926647103,BANDHAN Large Cap Fund-Direct Plan-Growth,True,Equity Scheme - Large Cap Fund,0.10725469887256622
118479,9,0.1364527115299468,0.1054408886162316,0.1664680566941361,0.1304899213842936,0.1133639788804442,BANDHAN Large Cap Fund-Direct Plan-Growth,True,Equity Scheme - Large Cap Fund,0.10725469887256622
118479,10,0.1367183038513051,0.1109515883004799,0.1592725213124295,0.1304899213842936,0.1177696610441443,BANDHAN Large Cap Fund-Direct Plan-Growth,True,Equity Scheme - Large Cap Fund,0.10725469887256622
118525,1,0.2556881508360956,-0.4028305045067633,1.2142404041819983,0.2012103503530988,-0.2010820103454381,Franklin India Small Cap Fund - Direct - Growth,True,Equity Scheme - Small Cap Fund,0.12349471151828766
118525,2,0.2259032337095398,-0.2546305296103973,0.6853980558811967,0.2012103503530988,-0.1139378618665019,Franklin India Small Cap Fund - Direct - Growth,True,Equity Scheme - Small Cap Fund,0.12349471151828766
118525,3,0.2094452546380965,-0.1368029383497299,0.4980615228846994,0.2012103503530988,-0.0462123154655717,Franklin India Small Cap Fund - Direct - Growth,True,Equity Scheme - Small Cap Fund,0.12349471151828766
118525,4,0.1984342828707385,-0.0358977787269538,0.4965801259979288,0.2012103503530988,0.0115891311982411,Franklin India Small Cap Fund - Direct - Growth,True,Equity Scheme - Small Cap Fund,0.12349471151828766
118525,5,0.1883957869461757,-0.0241522855724987,0.3928774690665257,0.2012103503530988,0.0381479574806868,Franklin India Small Cap Fund - Direct - Growth,True,Equity Scheme - Small Cap Fund,0.12349471151828766
118525,6,0.1758131537478491,0.0596512181700441,0.3198528783587357,0.2012103503530988,0.0703254372834986,Franklin India Small Cap Fund - Direct - Growth,True,Equity Scheme - Small Cap Fund,0.12349471151828766
118525,7,0.169220301261337,0.1161510062539337,0.2112715870830352,0.2012103503530988,0.1098365105353561,Franklin India Small Cap Fund - Direct - Growth,True,Equity Scheme - Small Cap Fund,0.12349471151828766
118525,8,0.1799167604912995,0.1257104834349842,0.2607170850046421,0.2012103503530988,0.1134003677799442,Franklin India Small Cap Fund - Direct - Growth,True,Equity Scheme - Small Cap Fund,0.12349471151828766
